0 0.541513       1
1 0.514328       2
2 0.534134       3
3 0.468579       4
4 0.522749       5
5 0.594971       6
6 0.493011       7
7 0.618098       8
8 0.489299       9
9 0.586558      10
10 0.401757      11
11 0.550485      12
12 0.567859      13
13 0.715236      14
14 0.513674      15
15 0.500795      16
16 0.535964      17
17 0.565833      18
18 0.603286      19
19 0.483168      20
20 0.590365      21
21 0.514132      22
22 0.539452      23
23 0.559565      24
24 0.688212      25
25 0.556131      26
26 0.499437      27
27 0.506474      28
28 0.602145      29
29 0.623123      30
30 0.499695      31
31 0.650581      32
32 0.550299      33
33 0.587840      34
34 0.696483      35
35 0.682543      36
36 0.520461      37
37 0.501669      38
38 0.594469      39
39 0.667919      40
40 0.647807      41
41 0.549346      42
42 0.640865      43
43 0.533636      44
44 0.619879      45
45 0.602013      46
46 0.705410      47
47 0.567228      48
48 0.660985      49
49 0.461285      50
50 0.551035      51
51 0.575930      52
52 0.571122      53
53 0.600081      54
54 0.621723      55
55 0.572360      56
56 0.665907      57
57 0.601432      58
58 0.645888      59
59 0.685161      60
60 0.638606      61
61 0.661304      62
62 0.506513      63
63 0.507921      64
64 0.884093      66
